age,workclass,education,maritalstatus,occupation,workhours,income
39,State-gov,Bachelors,Single,Administrative,40,Below-50K
50,Self-emp,Bachelors,Married,Management,13,Below-50K
38,Private,High-school,Divorced,Clearning,40,Below-50K
53,Private,11th,Married,Clearning,40,Below-50K
28,Private,Bachelors,Married,Specilist,40,Below-50K
37,Private,Masters,Married,Management,40,Below-50K
49,Private,9th,Separated,Other,16,Below-50K
52,Self-emp,High-school,Married,Management,45,Above-50K
31,Private,Masters,Single,Specilist,50,Above-50K
42,Private,Bachelors,Married,Management,40,Above-50K
37,Private,College,Married,Management,80,Above-50K
30,State-gov,Bachelors,Married,Specilist,40,Above-50K
23,Private,Bachelors,Single,Administrative,30,Below-50K
32,Private,Associate,Single,Sales,50,Below-50K
40,Private,Associate,Married,Craft-repair,40,Above-50K
34,Private,7th-8th,Married,Transportation,45,Below-50K
25,Self-emp,High-school,Single,Algriculture,35,Below-50K
32,Private,High-school,Single,Machinary,40,Below-50K
38,Private,11th,Married,Sales,50,Below-50K
43,Self-emp,Masters,Divorced,Management,45,Above-50K
40,Private,Doctorate,Married,Specilist,60,Above-50K
54,Private,High-school,Separated,Other,20,Below-50K
35,Federal-gov,9th,Married,Algriculture,40,Below-50K
43,Private,11th,Married,Transportation,40,Below-50K
59,Private,High-school,Divorced,Tech-support,40,Below-50K
56,Local-gov,Bachelors,Married,Tech-support,40,Above-50K
19,Private,High-school,Single,Craft-repair,40,Below-50K
54,Missing,College,Married,Missing,60,Above-50K
39,Private,High-school,Divorced,Management,80,Below-50K
49,Private,High-school,Married,Craft-repair,40,Below-50K
23,Local-gov,Associate,Single,Security,52,Below-50K
20,Private,College,Single,Sales,44,Below-50K
45,Private,Bachelors,Divorced,Management,40,Below-50K
30,Federal-gov,College,Married,Administrative,40,Below-50K
22,State-gov,College,Married,Other,15,Below-50K
48,Private,11th,Single,Machinary,40,Below-50K
21,Private,College,Single,Machinary,40,Below-50K
19,Private,High-school,Separated,Administrative,25,Below-50K
31,Private,College,Married,Sales,38,Above-50K
48,Self-emp,Associate,Married,Specilist,40,Below-50K
31,Private,9th,Married,Machinary,43,Below-50K
53,Self-emp,Bachelors,Married,Specilist,40,Below-50K
24,Private,Bachelors,Married,Tech-support,50,Below-50K
49,Private,High-school,Separated,Administrative,40,Below-50K
25,Private,High-school,Single,Clearning,35,Below-50K
57,Federal-gov,Bachelors,Married,Specilist,40,Above-50K
53,Private,High-school,Married,Machinary,38,Below-50K
44,Private,Masters,Divorced,Management,40,Below-50K
41,State-gov,Associate,Married,Craft-repair,40,Below-50K
29,Private,Associate,Single,Specilist,43,Below-50K
25,Private,College,Married,Management,40,Below-50K
18,Private,High-school,Single,Other,30,Below-50K
47,Private,Prof-school,Married,Specilist,60,Above-50K
50,Federal-gov,Bachelors,Divorced,Management,55,Above-50K
47,Self-emp,High-school,Divorced,Management,60,Below-50K
43,Private,College,Married,Tech-support,40,Above-50K
46,Private,5th-6th,Married,Machinary,40,Below-50K
35,Private,Associate,Married,Other,40,Below-50K
41,Private,High-school,Married,Administrative,48,Below-50K
30,Private,High-school,Married,Machinary,40,Below-50K
30,Private,Bachelors,Married,Sales,40,Below-50K
32,Missing,7th-8th,Separated,Missing,40,Below-50K
48,Private,High-school,Married,Transportation,40,Below-50K
42,Private,Doctorate,Married,Specilist,45,Above-50K
29,Private,College,Divorced,Tech-support,58,Below-50K
36,Private,High-school,Married,Craft-repair,40,Below-50K
